branch,department,class,gross_sales,discount,sales_after_discount,Vat Amount,Net Sales,B,A,C,"Cst Ls Vt
",Net Contribution,Margin ,Markup ,source_file,source_branch,loaded_at,sku_code,product_name,quantity,vat_amount,net_sale,cost_ex_vat,net_contribution,margin_pct,markup_pct,Total Net Contribution : ,2230.3706896551726,\
Jogoo Road,BAKERY,Bread,600.0,0.0,600.0,,,,,,,,,,alcoholic beverages.XLSX,Jogoo Road,2026-03-15 21:59:41.000631,101580,supaloaf 600g,6.0,0.0,600.0,492.0,108.0,18.0,21.951219512195124,,,
Jogoo Road,BAKERY,Cakes,5395.0,0.0,5395.0,,,,,,,,,,alcoholic beverages.XLSX,Jogoo Road,2026-03-15 21:59:41.000631,RE40920009,Festive Ring Cake Strawberry 90g,83.0,744.1379310344822,4650.862068965518,3161.215517241375,1489.6465517241431,32.0294717330863,47.12258761225108,,,
Jogoo Road,BAKERY,Cakes,11730.0,0.0,11730.0,,,,,,,,,,alcoholic beverages.XLSX,Jogoo Road,2026-03-15 21:59:41.000631,RE40921220,mill bakers heart deli 500g,69.0,1617.931034482755,10112.068965517245,7911.206896551736,2200.862068965509,21.764705882352853,27.819548872180306,,,
Jogoo Road,BAKERY,Cakes,8100.0,0.0,8100.0,,,,,,,,,,alcoholic beverages.XLSX,Jogoo Road,2026-03-15 21:59:41.000631,RE40919959,Ring cakes,135.0,1117.241379310343,6982.758620689657,5233.793103448278,1748.9655172413786,25.046913580246898,33.41678745552771,,,
Jogoo Road,BAKERY,Cakes,2590.0,0.0,2590.0,,,,,,,,,,alcoholic beverages.XLSX,Jogoo Road,2026-03-15 21:59:41.000631,RE40920759,MILL BAKERS SOFT SCONES 350G,37.0,357.2413793103443,2232.758620689656,1594.8275862068972,637.9310344827586,28.571428571428566,39.999999999999986,,,
Jogoo Road,BAKERY,Cakes,70.0,0.0,70.0,,,,,,,,,,alcoholic beverages.XLSX,Jogoo Road,2026-03-15 21:59:41.000631,100977,Anju Teacake 100g,1.0,9.655172413793096,60.344827586206904,43.10344827586207,17.241379310344833,28.571428571428577,40.00000000000001,,,
Jogoo Road,BAKERY,Cakes,495.0,0.0,495.0,,,,,,,,,,alcoholic beverages.XLSX,Jogoo Road,2026-03-15 21:59:41.000631,100981,Anju Queen Cake 6Pack,3.0,68.27586206896552,426.7241379310345,310.3448275862069,116.37931034482756,27.272727272727266,37.499999999999986,,,
Jogoo Road,BAKERY,Cakes,500.0,0.0,500.0,,,,,,,,,,alcoholic beverages.XLSX,Jogoo Road,2026-03-15 21:59:41.000631,100971,Anju Marble 200g,5.0,68.96551724137929,431.0344827586207,301.72413793103453,129.31034482758616,29.99999999999999,42.85714285714284,,,
Jogoo Road,BAKERY,Cakes,80.0,0.0,80.0,,,,,,,,,,alcoholic beverages.XLSX,Jogoo Road,2026-03-15 21:59:41.000631,RE40921034,Newtons Marble Cake 300g,1.0,11.034482758620683,68.96551724137932,51.724137931034484,17.241379310344833,25.000000000000007,33.33333333333334,,,
Jogoo Road,BAKERY,Cakes,0.0,0.0,0.0,,,,,,,,,,alcoholic beverages.XLSX,Jogoo Road,2026-03-15 21:59:41.000631,RE40920613,festive pound cake 400g chocolate,0.0,0.0,0.0,0.0,0.0,,0.0,,,
Jogoo Road,BAKERY,Cakes,1680.0,0.0,1680.0,,,,,,,,,,alcoholic beverages.XLSX,Jogoo Road,2026-03-15 21:59:41.000631,RE40921765,lana pie 35g,42.0,231.72413793103448,1448.2758620689656,1086.206896551724,362.0689655172416,25.000000000000018,33.33333333333336,,,
Jogoo Road,BAKERY,Cakes,300.0,0.0,300.0,,,,,,,,,,alcoholic beverages.XLSX,Jogoo Road,2026-03-15 21:59:41.000631,RE40921764,lana cust,6.0,41.379310344827566,258.62068965517244,174.00000000000003,84.62068965517241,32.71999999999999,48.63258026159333,,,
Jogoo Road,BAKERY,Cakes,9120.0,0.0,9120.0,,,,,,,,,,alcoholic beverages.XLSX,Jogoo Road,2026-03-15 21:59:41.000631,V40919802,Festive Half Pound BlueBerry 200g,76.0,1257.9310344827577,7862.068965517243,5896.692068965518,1965.3768965517247,24.998214912280705,33.33015991958555,,,
Jogoo Road,BAKERY,Cakes,13320.0,0.0,13320.0,,,,,,,,,,alcoholic beverages.XLSX,Jogoo Road,2026-03-15 21:59:41.000631,RE40921029,MILL BAKERS DANISH COOKIES 200G,111.0,1837.2413793103406,11482.75862068966,8420.689655172415,3062.0689655172446,26.666666666666682,36.363636363636395,,,
Jogoo Road,BAKERY,Cakes,57820.0,0.0,57820.0,,,,,,,,,,alcoholic beverages.XLSX,Jogoo Road,2026-03-15 21:59:41.000631,RE40920750,MILL BAKERS ENGLISH MUFFINS 300G,413.0,7975.17241379306,49844.82758620694,38451.724137931116,11393.103448275826,22.857142857142765,29.629629629629473,,,
Jogoo Road,BAKERY,Cakes,7250.0,0.0,7250.0,,,,,,,,,,alcoholic beverages.XLSX,Jogoo Road,2026-03-15 21:59:41.000631,RE40920614,festive pound cake 400g blueberry,29.0,999.9999999999999,6250.0,4499.999999999997,1750.0000000000027,28.000000000000043,38.88888888888897,,,
Jogoo Road,BAKERY,Cakes,23160.0,0.0,23160.0,,,,,,,,,,alcoholic beverages.XLSX,Jogoo Road,2026-03-15 21:59:41.000631,V40919803,Festive Half pound Vanilla 200g,193.0,3194.4827586206916,19965.517241379308,14974.38448275867,4991.132758620637,24.998765112262262,33.331138013501445,,,
Jogoo Road,BAKERY,Cakes,25600.0,0.0,25600.0,,,,,,,,,,alcoholic beverages.XLSX,Jogoo Road,2026-03-15 21:59:41.000631,102020,Mill bakers Marble slice 150g,320.0,3531.0344827585945,22068.965517241406,14620.689655172337,7448.275862069069,33.750000000000426,50.94339622641607,,,
Jogoo Road,BAKERY,Cakes,5580.0,0.0,5580.0,,,,,,,,,,alcoholic beverages.XLSX,Jogoo Road,2026-03-15 21:59:41.000631,V40919583,Festive Cupcake Orange 6's,31.0,769.6551724137923,4810.344827586207,3500.829999999998,1309.5148275862093,27.222888888888935,37.40583883211153,,,
Jogoo Road,BAKERY,Cakes,10000.0,0.0,10000.0,,,,,,,,,,alcoholic beverages.XLSX,Jogoo Road,2026-03-15 21:59:41.000631,102022,Mill bakers Rich cake 290g,100.0,1379.3103448275835,8620.689655172417,6465.517241379321,2155.172413793096,24.999999999999904,33.333333333333165,,,
Jogoo Road,BAKERY,Cakes,25620.0,0.0,25620.0,,,,,,,,,,alcoholic beverages.XLSX,Jogoo Road,2026-03-15 21:59:41.000631,102021,Mill bakers Lemon slice 150g,366.0,3533.793103448259,22086.20689655174,16722.413793103337,5363.793103448403,24.285714285714842,32.075471698114185,,,
Jogoo Road,BAKERY,Cakes,12840.0,0.0,12840.0,,,,,,,,,,alcoholic beverages.XLSX,Jogoo Road,2026-03-15 21:59:41.000631,102024,Mill Bakers Mini Madeira 350g,98.0,1771.034482758619,11068.96551724138,8363.79310344826,2705.1724137931196,24.439252336448742,32.34384662956117,,,
Jogoo Road,BAKERY,Cakes,8000.0,0.0,8000.0,,,,,,,,,,alcoholic beverages.XLSX,Jogoo Road,2026-03-15 21:59:41.000631,102023,Mill bakers Coffee cake 200g,100.0,1103.4482758620695,6896.55172413793,5258.620689655166,1637.9310344827645,23.75000000000009,31.14754098360671,,,
Jogoo Road,BAKERY,Cakes,12060.0,0.0,12060.0,,,,,,,,,,alcoholic beverages.XLSX,Jogoo Road,2026-03-15 21:59:41.000631,V40919582,Festive Cupcake Strawberry 6's,67.0,1663.4482758620668,10396.551724137933,7565.9949137931,2830.556810344833,27.225919568822604,37.41156110460263,,,
Jogoo Road,BAKERY,Cakes,3600.0,0.0,3600.0,,,,,,,,,,alcoholic beverages.XLSX,Jogoo Road,2026-03-15 21:59:41.000631,102026,Mill bakers Ginger Nuts cookies,30.0,496.5517241379313,3103.448275862069,2275.8620689655168,827.5862068965521,26.66666666666668,36.36363636363639,,,
Jogoo Road,BAKERY,Cakes,3840.0,0.0,3840.0,,,,,,,,,,alcoholic beverages.XLSX,Jogoo Road,2026-03-15 21:59:41.000631,102028,Mill bakers Daz coconut 200g,64.0,529.6551724137933,3310.3448275862065,2317.2413793103465,993.10344827586,29.999999999999943,42.85714285714274,,,
Jogoo Road,BAKERY,Cakes,10800.0,0.0,10800.0,,,,,,,,,,alcoholic beverages.XLSX,Jogoo Road,2026-03-15 21:59:41.000631,102027,Mill bakers Daz lemon 200g,180.0,1489.6551724137928,9310.344827586207,6517.241379310329,2793.103448275878,30.00000000000017,42.8571428571432,,,
Jogoo Road,BAKERY,Cakes,14130.000000000002,41.86440675,14088.135593250001,,,,,,,,,,alcoholic beverages.XLSX,Jogoo Road,2026-03-15 21:59:41.000631,102185,Mill Bakers Queen cakes 200g,131.0,1943.191116310348,12144.944476939652,7792.24137931033,4352.703097629323,35.83962945153076,55.859448979422766,,,
Jogoo Road,BAKERY,Cakes,7500.0,0.0,7500.0,,,,,,,,,,alcoholic beverages.XLSX,Jogoo Road,2026-03-15 21:59:41.000631,102184,Mill bakers mini hearts 150g,125.0,1034.482758620687,6465.517241379313,5495.68965517243,969.8275862068831,14.999999999999785,17.647058823529115,,,
Jogoo Road,BAKERY,Cakes,12780.0,0.0,12780.0,,,,,,,,,,alcoholic beverages.XLSX,Jogoo Road,2026-03-15 21:59:41.000631,102926,Mill bakers Tea cake,213.0,1762.7586206896572,11017.241379310342,7387.93103448274,3629.3103448276024,32.94209702660422,49.12485414235741,,,
Jogoo Road,BAKERY,Cakes,45220.0,0.0,45220.0,,,,,,,,,,alcoholic beverages.XLSX,Jogoo Road,2026-03-15 21:59:41.000631,102186,Mill bakers Chocolate cupcakes 300g,323.0,6237.241379310313,38982.75862068969,30072.41379310351,8910.344827586177,22.85714285714276,29.629629629629466,,,
Jogoo Road,BAKERY,Cakes,10140.0,0.0,10140.0,,,,,,,,,,alcoholic beverages.XLSX,Jogoo Road,2026-03-15 21:59:41.000631,RE40920872,mill bakers Daz Ginger 200g,169.0,1398.6206896551726,8741.379310344828,6118.965517241364,2622.413793103464,30.000000000000178,42.85714285714322,,,
Jogoo Road,BAKERY,Cakes,22000.0,0.0,22000.0,,,,,,,,,,alcoholic beverages.XLSX,Jogoo Road,2026-03-15 21:59:41.000631,RE40920987,FESTIVE POUND CAKE 400G VANILLA ,88.0,3034.482758620695,18965.517241379304,13655.068965517246,5310.448275862058,28.000545454545406,38.88994108541217,,,
Jogoo Road,BAKERY,Cakes,26290.0,0.0,26290.0,,,,,,,,,,alcoholic beverages.XLSX,Jogoo Road,2026-03-15 21:59:41.000631,RE40920870,mill bakers queen cake 260g,239.0,3626.206896551708,22663.793103448294,16894.82758620682,5768.965517241475,25.45454545454586,34.14634146341536,,,
Jogoo Road,BAKERY,Cakes,15900.0,20.0,15880.0,,,,,,,,,,alcoholic beverages.XLSX,Jogoo Road,2026-03-15 21:59:41.000631,RE40921144,mill bakers daz honey 200g,265.0,2190.3448275862115,13689.655172413788,9594.82758620688,4094.8275862069077,29.911838790932084,42.677448337825886,,,
Jogoo Road,BAKERY,Cakes,1620.0,0.0,1620.0,,,,,,,,,,alcoholic beverages.XLSX,Jogoo Road,2026-03-15 21:59:41.000631,V0530,"Nutri Delights, Oats and ",9.0,223.44827586206887,1396.5517241379312,1047.4137931034481,349.137931034483,25.000000000000018,33.333333333333364,,,
Jogoo Road,BAKERY,Cakes,,,,,,,,,,,,,alcoholic beverages.XLSX,Jogoo Road,2026-03-15 21:59:41.000631,V0530,"Nuts Choco Cookies,100gms",,,,,,,,,,
