sku_code,product_name,branch,department,quantity,net_sale,net_contribution,margin_pct,dept_avg_margin,dept_std_margin,dept_median_margin,dept_product_count,z_score,branch_dept_avg,branch_dept_std,is_anomaly,severity,margin_gap,revenue_impact
Safaricom,Safaricom,Jogoo Road,AIR TIME,,11.21,5.6,50.0,50.0,1.0,50.0,4,0.0,50.0,1.0,False,Normal,0.0,0.0
RE40921554,MILL BAKERS MILKY BREAD 400G,Jogoo Road,BAKERY,35.0,2275.0,350.0,15.3846,26.865156940509916,5.823338098334631,26.6667,353,-1.9714735340187695,26.865307462686566,7.09687280167295,False,Watch,-11.480556940509915,-261.1826703966006
RE40920904,Festive cream roll vanilla 70g,Jogoo Road,BAKERY,32.0,1379.31,301.01,21.8233,26.865156940509916,5.823338098334631,26.6667,353,-0.8658018571773801,26.865307462686566,7.09687280167295,False,Normal,-5.041856940509916,-69.54283696614732
RE40920903,Festive cream roll caramel  70g,Jogoo Road,BAKERY,4.0,172.41,54.76,31.76,26.865156940509916,5.823338098334631,26.6667,353,0.8405562199608368,26.865307462686566,7.09687280167295,False,Normal,4.894843059490086,8.439198918866856
102033,Heart Deli 300g,Jogoo Road,BAKERY,159.0,14355.91,3577.59,24.9207,26.865156940509916,5.823338098334631,26.6667,353,-0.3339076158167762,26.865307462686566,7.09687280167295,False,Normal,-1.944456940509916,-279.14448836835703
RE40922594,supa choco chip muffins300g,Jogoo Road,BAKERY,7.0,844.83,271.55,32.1429,26.865156940509916,5.823338098334631,26.6667,353,0.9063088851048199,26.865307462686566,7.09687280167295,False,Normal,5.277743059490081,44.587956689490056
RE40922592,supa bread roll 400g,Jogoo Road,BAKERY,3.0,270.0,90.0,33.3333,26.865156940509916,5.823338098334631,26.6667,353,1.1107277218439124,26.865307462686566,7.09687280167295,False,Normal,6.468143059490085,17.46398626062323
RE40922593,Supa Long Buns 300g,Jogoo Road,BAKERY,5.0,323.28,99.14,30.6667,26.865156940509916,5.823338098334631,26.6667,353,0.6528116683757818,26.865307462686566,7.09687280167295,False,Normal,3.8015430594900828,12.289628402719538
RE40922382,supa loaf sweet bread 400g,Jogoo Road,BAKERY,8.0,520.0,64.0,12.3077,26.865156940509916,5.823338098334631,26.6667,353,-2.4998474577103953,26.865307462686566,7.09687280167295,True,Warning,-14.557456940509915,-75.69877609065156
102183,Supa Loaf White 800g,Jogoo Road,BAKERY,1.0,100.0,14.0,14.0,26.865156940509916,5.823338098334631,26.6667,353,-2.2092409410659357,26.865307462686566,7.09687280167295,True,Warning,-12.865156940509916,-12.865156940509916
101321,Festive brown bread 600g,Jogoo Road,BAKERY,77.0,9240.0,2310.0,25.0,26.865156940509916,5.823338098334631,26.6667,353,-0.32028999673629066,26.865307462686566,7.09687280167295,False,Normal,-1.865156940509916,-172.34050130311624
100966,Festive White Bread 400g,Jogoo Road,BAKERY,213.0,15975.0,3195.0,20.0,26.865156940509916,5.823338098334631,26.6667,353,-1.1789040623406748,26.865307462686566,7.09687280167295,False,Watch,-6.865156940509916,-1096.7088212464591
100957,Festive WhiteBread 600g,Jogoo Road,BAKERY,119.0,14280.0,3630.0,25.4202,26.865156940509916,5.823338098334631,26.6667,353,-0.24813207066289802,26.865307462686566,7.09687280167295,False,Normal,-1.4449569405099147,-206.33985110481584
100959,Festive pre white Burger Buns,Jogoo Road,BAKERY,7.0,844.83,181.03,21.4286,26.865156940509916,5.823338098334631,26.6667,353,-0.9335808515161902,26.865307462686566,7.09687280167295,False,Normal,-5.436556940509917,-45.92966400050993
100963,Festive Brown Bread 400g,Jogoo Road,BAKERY,40.0,3000.0,600.0,20.0,26.865156940509916,5.823338098334631,26.6667,353,-1.1789040623406748,26.865307462686566,7.09687280167295,False,Watch,-6.865156940509916,-205.95470821529747
100964,Festive white bread 800g,Jogoo Road,BAKERY,75.0,11250.0,2250.0,20.0,26.865156940509916,5.823338098334631,26.6667,353,-1.1789040623406748,26.865307462686566,7.09687280167295,False,Watch,-6.865156940509916,-772.3301558073655
102855,Festive cream roll strawberry 70g,Jogoo Road,BAKERY,20.0,775.86,86.09,11.0962,26.865156940509916,5.823338098334631,26.6667,353,-2.707889645806338,26.865307462686566,7.09687280167295,True,Warning,-15.768956940509916,-122.34502931864024
101579,supaloaf 400g,Jogoo Road,BAKERY,6.0,420.0,90.0,21.4286,26.865156940509916,5.823338098334631,26.6667,353,-0.9335808515161902,26.865307462686566,7.09687280167295,False,Normal,-5.436556940509917,-22.83353915014165
101580,supaloaf 600g,Jogoo Road,BAKERY,6.0,600.0,108.0,18.0,26.865156940509916,5.823338098334631,26.6667,353,-1.5223496885824284,26.865307462686566,7.09687280167295,False,Watch,-8.865156940509916,-53.190941643059496
RE40920009,Festive Ring Cake Strawberry 90g,Jogoo Road,BAKERY,83.0,4650.86,1489.65,32.0295,26.865156940509916,5.823338098334631,26.6667,353,0.8868355180969127,26.865307462686566,7.09687280167295,False,Normal,5.164343059490083,240.18636561660045
RE40921220,mill bakers heart deli 500g,Jogoo Road,BAKERY,69.0,10112.07,2200.86,21.7647,26.865156940509916,5.823338098334631,26.6667,353,-0.8758648140262633,26.865307462686566,7.09687280167295,False,Normal,-5.100456940509915,-515.7617761442209
RE40919959,Ring cakes,Jogoo Road,BAKERY,135.0,6982.76,1748.97,25.0469,26.865156940509916,5.823338098334631,26.6667,353,-0.3122361968009214,26.865307462686566,7.09687280167295,False,Normal,-1.8182569405099152,-126.96451833915016
RE40920759,MILL BAKERS SOFT SCONES 350G,Jogoo Road,BAKERY,37.0,2232.76,637.93,28.5714,26.865156940509916,5.823338098334631,26.6667,353,0.2930008580436089,26.865307462686566,7.09687280167295,False,Normal,1.7062430594900846,38.096312535070815
100977,Anju Teacake 100g,Jogoo Road,BAKERY,1.0,60.34,17.24,28.5714,26.865156940509916,5.823338098334631,26.6667,353,0.2930008580436089,26.865307462686566,7.09687280167295,False,Normal,1.7062430594900846,1.0295470620963172
100981,Anju Queen Cake 6Pack,Jogoo Road,BAKERY,3.0,426.72,116.38,27.2727,26.865156940509916,5.823338098334631,26.6667,353,0.06998444064352614,26.865307462686566,7.09687280167295,False,Normal,0.4075430594900844,1.7390677434560882
100971,Anju Marble 200g,Jogoo Road,BAKERY,5.0,431.03,129.31,30.0,26.865156940509916,5.823338098334631,26.6667,353,0.5383240688680935,26.865307462686566,7.09687280167295,False,Normal,3.134843059490084,13.512114039320108
RE40921034,Newtons Marble Cake 300g,Jogoo Road,BAKERY,1.0,68.97,17.24,25.0,26.865156940509916,5.823338098334631,26.6667,353,-0.32028999673629066,26.865307462686566,7.09687280167295,False,Normal,-1.865156940509916,-1.2863987418696892
RE40921765,lana pie 35g,Jogoo Road,BAKERY,42.0,1448.28,362.07,25.0,26.865156940509916,5.823338098334631,26.6667,353,-0.32028999673629066,26.865307462686566,7.09687280167295,False,Normal,-1.865156940509916,-27.012694938017013
RE40921764,lana cust,Jogoo Road,BAKERY,6.0,258.62,84.62,32.72,26.865156940509916,5.823338098334631,26.6667,353,1.0054101205568782,26.865307462686566,7.09687280167295,False,Normal,5.854843059490083,15.141795120453253
V40919802,Festive Half Pound BlueBerry 200g,Jogoo Road,BAKERY,76.0,7862.07,1965.38,24.9982,26.865156940509916,5.823338098334631,26.6667,353,-0.32059909779990814,26.865307462686566,7.09687280167295,False,Normal,-1.8669569405099153,-146.7814615327479
RE40921029,MILL BAKERS DANISH COOKIES 200G,Jogoo Road,BAKERY,111.0,11482.76,3062.07,26.6667,26.865156940509916,5.823338098334631,26.6667,353,-0.034079584107725484,26.865307462686566,7.09687280167295,False,Normal,-0.19845694050991725,-22.788334182096573
RE40920750,MILL BAKERS ENGLISH MUFFINS 300G,Jogoo Road,BAKERY,413.0,49844.83,11393.1,22.8571,26.865156940509916,5.823338098334631,26.6667,353,-0.6882748129730177,26.865307462686566,7.09687280167295,False,Normal,-4.008056940509917,-1997.8091683003693
RE40920614,festive pound cake 400g blueberry,Jogoo Road,BAKERY,29.0,6250.0,1750.0,28.0,26.865156940509916,5.823338098334631,26.6667,353,0.1948784426263398,26.865307462686566,7.09687280167295,False,Normal,1.134843059490084,70.92769121813025
V40919803,Festive Half pound Vanilla 200g,Jogoo Road,BAKERY,193.0,19965.52,4991.13,24.9988,26.865156940509916,5.823338098334631,26.6667,353,-0.32049606411203585,26.865307462686566,7.09687280167295,False,Normal,-1.8663569405099167,-372.6278682288955
102020,Mill bakers Marble slice 150g,Jogoo Road,BAKERY,320.0,22068.97,7448.28,33.75,26.865156940509916,5.823338098334631,26.6667,353,1.1822846180713815,26.865307462686566,7.09687280167295,False,Normal,6.884843059490084,1519.4139493459488
V40919583,Festive Cupcake Orange 6's,Jogoo Road,BAKERY,31.0,4810.34,1309.51,27.2229,26.865156940509916,5.823338098334631,26.6667,353,0.06143264455010628,26.865307462686566,7.09687280167295,False,Normal,0.3577430594900832,17.20865748787527
102022,Mill bakers Rich cake 290g,Jogoo Road,BAKERY,100.0,8620.69,2155.17,25.0,26.865156940509916,5.823338098334631,26.6667,353,-0.32028999673629066,26.865307462686566,7.09687280167295,False,Normal,-1.865156940509916,-160.78939785484428
102021,Mill bakers Lemon slice 150g,Jogoo Road,BAKERY,366.0,22086.21,5363.79,24.2857,26.865156940509916,5.823338098334631,26.6667,353,-0.44295160214853324,26.865307462686566,7.09687280167295,False,Normal,-2.5794569405099175,-569.7042767405954
102024,Mill Bakers Mini Madeira 350g,Jogoo Road,BAKERY,98.0,11068.97,2705.17,24.4393,26.865156940509916,5.823338098334631,26.6667,353,-0.4165749780531664,26.865307462686566,7.09687280167295,False,Normal,-2.4258569405099166,-268.51737698796046
102023,Mill bakers Coffee cake 200g,Jogoo Road,BAKERY,100.0,6896.55,1637.93,23.75,26.865156940509916,5.823338098334631,26.6667,353,-0.5349435131373866,26.865307462686566,7.09687280167295,False,Normal,-3.115156940509916,-214.83835598073662
102033,Heart Deli 300g,Kingo,BAKERY,48.0,4344.83,1075.86,24.7619,26.865156940509916,5.823338098334631,26.6667,353,-0.36117719854037134,26.809202,4.576397318145718,False,Normal,-2.1032569405099153,-91.38293852835696
V40919582,Festive Cupcake Strawberry 6's,Jogoo Road,BAKERY,67.0,10396.55,2830.56,27.2259,26.865156940509916,5.823338098334631,26.6667,353,0.06194781298946893,26.865307462686566,7.09687280167295,False,Normal,0.36074305949008334,37.50483255141626
102026,Mill bakers Ginger Nuts cookies,Jogoo Road,BAKERY,30.0,3103.45,827.59,26.6667,26.865156940509916,5.823338098334631,26.6667,353,-0.034079584107725484,26.865307462686566,7.09687280167295,False,Normal,-0.19845694050991725,-6.159011920255026
102028,Mill bakers Daz coconut 200g,Jogoo Road,BAKERY,64.0,3310.34,993.1,30.0,26.865156940509916,5.823338098334631,26.6667,353,0.5383240688680935,26.865307462686566,7.09687280167295,False,Normal,3.134843059490084,103.77396373552405
102027,Mill bakers Daz lemon 200g,Jogoo Road,BAKERY,180.0,9310.34,2793.1,30.0,26.865156940509916,5.823338098334631,26.6667,353,0.5383240688680935,26.865307462686566,7.09687280167295,False,Normal,3.134843059490084,291.8645473049291
102185,Mill Bakers Queen cakes 200g,Jogoo Road,BAKERY,131.0,12144.94,4352.7,35.8396,26.865156940509916,5.823338098334631,26.6667,353,1.5411166083687653,26.865307462686566,7.09687280167295,False,Normal,8.974443059490081,1089.9407249092346
102184,Mill bakers mini hearts 150g,Jogoo Road,BAKERY,125.0,6465.52,969.83,15.0,26.865156940509916,5.823338098334631,26.6667,353,-2.037518127945059,26.865307462686566,7.09687280167295,True,Warning,-11.865156940509916,-767.1440950200567
102926,Mill bakers Tea cake,Jogoo Road,BAKERY,213.0,11017.24,3629.31,32.9421,26.865156940509916,5.823338098334631,26.6667,353,1.0435497573510257,26.865307462686566,7.09687280167295,False,Normal,6.0769430594900875,669.5114015273657
102186,Mill bakers Chocolate cupcakes 300g,Jogoo Road,BAKERY,323.0,38982.76,8910.34,22.8571,26.865156940509916,5.823338098334631,26.6667,353,-0.6882748129730177,26.865307462686566,7.09687280167295,False,Normal,-4.008056940509917,-1562.4512177823237
